pattern;category;;;;;
accusation(s)? of witchcraft;Community Security;;;;;
alienation;Community Security;;;;;
antisemitism;Community Security;;;;;
bigotry;Community Security;;;;;
bonded labour;Community Security;;;;;
caste system(s)?;Community Security;;;;;
clash(es)? between rival factions;Community Security;;;;;
climate of intolerance;Community Security;;;;;
closing off communit(y|ies);Community Security;;;;;
communal conflict(s)?;Community Security;;;;;
communal violence;Community Security;;;;;
community based violence;Community Security;;;;;
community dispute(s)?;Community Security;;;;;
community insecurit(y|ies);Community Security;;;;;
community level violence;Community Security;;;;;
community tension(s)?;Community Security;;;;;
community violence;Community Security;;;;;
community wide misuse of small arms;Community Security;;;;;
conflict among communit(y|ies);Community Security;;;;;
contestation between groups;Community Security;;;;;
conversion therapy;Community Security;;;;;
cultural practice of exclusion;Community Security;;;;;
deep inequalit(y|ies) among group(s)?;Community Security;;;;;
dehumanization;Community Security;;;;;
dehumanizing caricature(s)? of particular group(s)?;Community Security;;;;;
deprivation among certain group(s)?;Community Security;;;;;
deprivation of community;Community Security;;;;;
depriving a minority of right(s)?;Community Security;;;;;
destruction of societ(y|ies);Community Security;;;;;
destructive gender stereotype(s)?;Community Security;;;;;
discriminating;Community Security;;;;;
discrimination;Community Security;;;;;
discriminatory belief(s)?;Community Security;;;;;
discriminatory politics;Community Security;;;;;
discriminatory practice(s)?;Community Security;;;;;
erosion of social support;Community Security;;;;;
ethnic carnage;Community Security;;;;;
ethnic clash(es)?;Community Security;;;;;
ethnic cleansing;Community Security;;;;;
ethnic cleavage(s)?;Community Security;;;;;
ethnic conflict(s)?;Community Security;;;;;
ethnic discrimination;Community Security;;;;;
ethnic dispute(s)?;Community Security;;;;;
ethnic hatred;Community Security;;;;;
ethnic issue(s)?;Community Security;;;;;
ethnic provocation(s)?;Community Security;;;;;
ethnic strife;Community Security;;;;;
ethnic tension(s)?;Community Security;;;;;
ethnic violence;Community Security;;;;;
ethnically motivated armed conflict(s)?;Community Security;;;;;
ethnically motivated violence;Community Security;;;;;
ethno territorial dispute(s)?;Community Security;;;;;
